"ref_id","mean","std","blarg","level","id","period","Var_type","Amplitude","MedianAbsDev","SmallKurtosis","Skew","Rcs","MedianBRP","name","id_tree"
631,13.495,0.254,631,"Catalina (CSDR2)","1001004003617",0.28,"EW",0.397,0.151,-1.05,0.6,0.085,0.267,"1001004003617",0
1347,14.583,0.177,1347,"Catalina (CSDR2)","1001005029084",0.366,"EW",0.272,0.151,-0.884,0.372,0.176,0.252,"1001005029084",1
1203,13.952,0.205,1203,"Catalina (CSDR2)","1001005035721",0.675,"EA",0.372,0.035,1.95,1.765,0.15,0.752,"1001005035721",2
31,15.334,0.116,31,"Catalina (CSDR2)","1001010039266",0.269,"RRc",0.173,0.111,-1.107,0.156,0.134,0.218,"1001010039266",3
20,14.434,0.118,20,"Catalina (CSDR2)","1001013037900",0.741,"EW",0.21,0.045,0.964,1.381,0.188,0.545,"1001013037900",4
212,16.888,0.215,212,"Catalina (CSDR2)","1001015004303",0.643,"RRab",0.4,0.123,2.654,-1.363,0.075,0.562,"1001015004303",5
75,16.858,0.162,75,"Catalina (CSDR2)","1001016007403",0.284,"EW",0.267,0.104,-0.826,0.59,0.166,0.299,"1001016007403",6
1046,12.233,0.212,1046,"Catalina (CSDR2)","1001018042499",0.362,"EW",0.395,0.13,-0.416,0.5,0.095,0.381,"1001018042499",7
1093,15.658,0.059,1093,"Catalina (CSDR2)","1001019046111",1.718,"EW",0.11,0.043,-0.203,0.475,0.19,0.364,"1001019046111",8
898,16.376,0.088,898,"Catalina (CSDR2)","1001024003934",0.489,"EA",0.165,0.034,1.098,1.292,0.152,0.573,"1001024003934",9
1694,18.259,0.232,1694,"Catalina (CSDR2)","1001024044596",0.623,"RRab",0.426,0.149,2.543,-0.334,0.093,0.674,"1001024044596",10
1407,15.979,0.079,1407,"Catalina (CSDR2)","1001025036884",0.344,"EW",0.133,0.065,-1.059,0.093,0.203,0.229,"1001025036884",11
1213,12.997,0.107,1213,"Catalina (CSDR2)","1001026008810",0.331,"EW",0.179,0.058,17.851,1.961,0.186,0.785,"1001026008810",12
