"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1001004003617",2,3,5,6,6,5,3,3,1,1,2,2,5,6,6,4,2,1,1,1
"1001005029084",6,6,6,5,2,2,1,1,2,3,5,6,6,4,2,1,1,1,2,3
"1001005035721",2,3,2,2,3,6,6,2,2,2,2,2,2,2,3,6,6,3,3,2
"1001010039266",6,6,6,5,3,1,1,1,1,1,1,2,2,3,4,5,5,6,6,6
"1001013037900",2,3,2,2,2,2,4,6,6,6,4,3,2,2,2,2,2,2,5,4
"1001015004303",4,1,1,1,1,2,2,3,3,4,5,5,5,6,6,5,5,5,6,6
"1001016007403",1,2,4,6,6,6,4,2,1,1,1,2,5,6,6,6,4,2,2,1
"1001018042499",4,6,6,6,3,2,1,1,1,2,3,6,6,6,4,2,1,2,2,2
"1001019046111",4,3,5,6,5,5,6,2,2,1,2,3,4,6,5,5,1,2,1,1
"1001024003934",2,2,3,6,6,5,3,3,2,2,1,2,3,6,6,3,2,2,2,2
"1001024044596",1,1,1,1,3,2,3,3,5,4,4,5,5,4,6,5,6,5,6,2
"1001025036884",1,2,3,5,6,6,5,3,2,1,1,2,4,6,6,6,5,3,1,1
"1001026008810",5,6,3,2,1,1,4,3,5,5,5,6,5,2,1,1,3,4,5,5
"1001028033728",3,2,2,1,2,3,4,6,6,2,2,2,2,2,2,3,4,6,6,4
"1001028043035",6,6,6,4,2,2,1,1,2,3,6,6,6,4,2,1,1,2,3,5
"1001029046772",3,4,6,6,3,2,3,2,2,2,2,3,3,3,3,3,2,2,2,2
"1001029067141",1,2,3,5,6,6,5,3,1,1,1,2,3,5,6,6,4,2,2,1
"1001029069020",4,2,1,1,3,4,5,6,5,5,2,2,2,2,4,3,6,6,5,5
"1001031003899",3,3,2,3,3,3,3,3,3,2,2,3,3,6,6,6,3,2,3,2
"1001032080975",4,2,1,1,1,2,4,6,6,6,3,2,1,1,1,3,4,6,6,6
"1001045000885",5,3,2,1,1,2,3,5,6,6,6,3,2,1,1,2,2,5,6,6
"1001045018128",1,1,3,4,6,6,6,6,2,1,1,1,1,3,5,5,5,4,2,2
"1001045049004",6,3,2,2,2,2,3,4,6,6,6,4,2,1,1,1,2,5,6,NA
"1001045053788",5,6,5,3,3,2,3,2,3,3,3,4,3,2,2,2,2,2,2,3
"1001045086407",3,3,2,2,2,3,2,3,3,3,2,2,3,2,3,3,2,6,6,6
"1001046006289",6,3,2,2,1,1,2,4,6,6,6,4,3,2,2,2,2,2,5,6
"1001048012382",5,2,1,2,2,3,4,6,6,5,3,3,2,1,1,2,5,6,5,5
"1001048073058",2,3,2,6,4,3,2,2,3,4,3,3,4,6,3,2,2,4,4,2
"1001049035558",4,2,2,2,2,2,3,6,6,5,3,2,1,2,2,2,3,6,6,6
